Participant,n_per_person_ESM,n_any_con_ESM,n_con_init_ESM,n_con_pers_ESM,n_con_inhi_ESM,freq_con_all_ESM,freq_con_init_ESM,freq_con_pers_ESM,freq_con_inhi_ESM,m_intensity_all_ESM,m_intensity_init_ESM,m_intensity_pers_ESM,m_intensity_inhi_ESM,m_success_all_ESM,m_success_init_ESM,m_success_pers_ESM,m_success_inhi_ESM,DemSex,DemAge,DemStudent3,bfi1,bfi2,bfi3,bfi10,bfi11,bfi12,ipc1_1,ipc1_2,ipc1_3,ipc1_4,ipc1_5,ipc1_6,ipc1_7,ipc1_8,ipc2_1,ipc2_2,ipc2_3,ipc2_4,ipc2_5,ipc2_6,ipc2_7,ipc2_8,ipc3_1,ipc3_2,ipc3_3,ipc3_4,ipc3_5,ipc3_6,ipc3_7,ipc3_8,ipc4_1,ipc4_2,ipc4_3,ipc4_4,ipc4_5,ipc4_6,ipc4_7,ipc4_8,ipc5_1,ipc5_2,ipc5_3,ipc5_4,ipc5_5,ipc5_6,ipc5_7,ipc5_8,ipc6_1,ipc6_2,ipc6_3,ipc6_4,ipc6_5,ipc6_6,ipc6_7,ipc6_8,bisbas8,bisbas13,bisbas16,bisbas19,bisbas22,bisbas24,bisbas3,bisbas9,bisbas12,bisbas21,bisbas4,bisbas7,bisbas18,bisbas23,bisbas14,bisbas5,bisbas10,bisbas15,bisbas20,ERQ1,ERQ3,ERQ5,ERQ7,ERQ8,ERQ10,ERQ2,ERQ4,ERQ6,ERQ9,bisf1,bisf2,bisf3,bisf4,bisf5,bisf6,bisf7,bisf8,bisf9,bisf10,bisf11,bisf12,bisf13,bisf14,bisf15,ips1,ips2,ips3,ips4,ips5,ips6,ips7,ips8,ips9,stst1,stst2,stst3,stst4,stst5,stst6,stst7,stst8,stst9,stst10,stst11,stst12,stst13,stst14,stst15,stst16,stst17,hoyle1,hoyle2,hoyle3,hoyle4,hoyle5,hoyle6,hoyle7,hoyle8,hoyle9,hoyle10,hoyle11,hoyle12,hoyle13,hoyle14,hoyle15,hoyle16,hoyle17,hoyle18,hoyle19,hoyle20,scs01,scs02,scs03,scs04,scs05,scs06,scs07,scs08,scs09,scs10,scs11,scs12,scs13,MISCS20,MISCS11,MISCS21,MISCS18,MISCS4,MISCS12,MISCS2,MISCS15,MISCS19,MISCS23,MISCS25,MISCS26
74,8,3,1,2,0,0.375,0.125,0.25,NA,5,5,5,NA,3.1666666666666665,1.5,4,NA,2,27,Y,1,1,1,4,2,4,6,5,3,5,6,6,4,5,2,3,1,2,6,6,6,5,7,6,7,7,6,7,7,7,7,7,3,5,5,6,6,5,6,5,4,3,5,2,3,5,4,6,5,6,6,7,7,6,7,5,7,7,7,7,6,4,4,5,6,7,4,7,6,7,6,2,5,1,6,1,5,5,5,5,2,1,3,5,2,1,5,6,1,3,6,2,3,7,4,6,6,2,5,3,7,2,7,6,5,6,3,2,6,7,6,5,4,1,6,7,5,1,1,1,2,1,1,1,2,2,5,2,6,2,6,2,1,1,1,3,4,6,6,6,7,1,2,6,3,3,5,5,7,1,1,1,3,7,5,6,2,2,2,3,3,5,4,5,5,4,2,2,2
76,1,1,1,0,0,1,1,NA,NA,5,5,NA,NA,1.5,1.5,NA,NA,1,21,Y,4,1,3,4,4,3,3,2,5,6,4,3,2,5,7,3,4,2,7,5,1,2,7,6,6,7,6,6,4,3,3,4,2,4,3,3,3,5,2,6,5,2,3,2,3,7,1,2,1,4,1,1,3,2,2,7,6,6,4,5,3,5,6,3,6,6,5,5,5,5,3,7,2,7,NA,5,5,3,5,2,1,5,6,3,3,5,7,5,4,3,5,3,6,1,3,3,3,3,7,3,6,5,6,5,7,7,6,6,5,2,6,7,2,7,5,5,5,5,5,6,2,6,2,6,3,3,5,1,3,1,6,1,3,2,2,4,3,2,5,7,5,3,4,2,5,1,1,1,1,1,1,3,3,NA,2,6,1,4,4,2,4,3,1,4,3,4,3,4,3
77,38,19,3,6,10,0.5,0.07894736842105263,0.15789473684210525,0.2631578947368421,4.368421052631579,5,4.5,4.1,3.6052631578947367,3.5,3.1666666666666665,3.9,2,20,Y,3,2,5,5,3,4,5,5,5,5,6,5,6,6,5,6,7,7,7,7,6,7,6,7,6,6,6,6,5,4,3,5,3,3,4,5,6,6,5,4,5,3,3,3,3,3,6,6,3,7,2,2,3,7,3,7,6,7,7,6,4,5,5,4,6,6,7,3,6,5,5,5,5,3,3,5,5,2,5,2,3,3,5,5,6,NA,2,5,2,3,4,5,4,2,5,5,2,2,4,3,3,3,5,5,5,4,2,2,5,4,5,5,5,3,5,3,4,3,2,2,2,2,5,6,5,5,5,3,4,2,6,4,6,3,4,5,5,6,3,5,6,2,5,6,5,2,4,7,4,2,3,3,3,3,6,3,2,3,5,4,2,4,2,3,2,4,2,4,5
79,34,24,14,9,1,0.7058823529411765,0.4117647058823529,0.2647058823529412,0.029411764705882353,3.875,3.7857142857142856,4,4,3.8125,3.8214285714285716,3.8333333333333335,3.5,2,22,Y,4,3,3,4,2,4,5,6,4,5,5,6,6,6,5,5,4,6,7,6,4,4,6,7,7,7,6,6,5,7,4,6,4,6,6,6,5,5,5,4,4,3,4,4,4,4,5,5,5,5,4,5,4,5,3,5,4,5,5,6,6,5,5,6,6,5,5,4,4,6,4,4,5,5,5,4,4,4,5,3,3,3,3,3,3,3,3,4,2,2,2,2,2,4,3,4,2,3,4,3,5,4,5,4,4,5,4,4,5,4,4,3,5,4,5,6,5,3,4,4,5,4,3,5,5,5,5,6,6,5,5,4,4,3,3,3,4,5,5,6,6,3,6,6,5,6,5,6,6,3,4,3,4,4,5,2,4,3,3,4,4,3,3,3,3,4,2,3,3
81,29,5,4,1,0,0.1724137931034483,0.13793103448275862,0.034482758620689655,NA,3.6,3.25,5,NA,4.8,4.875,4.5,NA,3,19,Y,4,5,3,4,2,5,5,6,3,3,6,5,6,3,2,1,1,2,3,3,2,2,2,7,6,3,7,6,6,6,7,7,5,5,7,6,5,5,2,3,6,3,2,3,2,5,6,3,7,5,5,6,3,5,7,7,7,6,6,6,6,6,6,6,6,7,7,7,6,5,5,2,5,5,5,2,6,5,7,6,2,5,5,5,5,3,2,6,5,3,3,5,2,5,6,5,2,2,6,6,6,6,6,5,5,6,6,2,5,2,2,5,3,3,5,3,6,1,1,5,3,5,5,2,3,3,3,3,3,2,3,2,2,3,2,2,6,2,7,2,2,1,5,2,3,2,2,5,2,3,3,5,7,6,5,2,2,3,2,2,1,4,1,2,3,1,3,4,4
83,56,11,6,0,5,0.19642857142857142,0.10714285714285714,NA,0.08928571428571429,3.4545454545454546,3.1666666666666665,NA,3.8,4.863636363636363,4.25,NA,5.6,2,28,Y,2,3,4,4,2,3,5,6,5,6,6,6,6,5,3,4,5,3,2,6,5,5,6,7,6,7,7,7,6,7,2,6,4,6,7,6,6,6,5,6,6,5,5,4,5,4,5,5,7,6,6,6,4,3,3,5,5,6,4,4,6,4,5,5,6,6,6,4,5,6,2,3,5,6,6,5,5,5,6,3,1,2,2,5,5,2,2,5,3,2,3,3,2,2,2,2,1,2,3,2,5,2,4,4,2,4,3,3,5,5,6,4,6,4,6,6,6,3,4,5,5,5,5,4,5,5,6,4,5,4,6,5,5,4,5,4,4,4,5,5,5,4,5,6,5,4,5,7,3,3,3,7,6,6,6,6,3,4,4,3,3,4,3,4,2,2,2,4,2
84,66,18,11,6,1,0.2727272727272727,0.16666666666666666,0.09090909090909091,0.015151515151515152,5.444444444444445,5.454545454545454,5.5,5,4.75,4.7727272727272725,4.666666666666667,5,2,23,Y,1,1,4,5,4,3,6,5,5,6,5,4,5,6,6,6,6,7,7,7,4,6,7,NA,5,7,7,7,6,7,6,7,6,6,6,6,5,5,4,6,6,6,6,4,6,5,5,6,6,6,6,6,6,6,6,7,7,6,6,7,7,5,5,6,7,7,7,4,5,3,3,2,3,3,3,4,5,4,5,5,2,3,6,2,2,1,3,2,2,1,2,2,1,3,3,2,3,2,2,2,4,3,5,4,2,3,3,6,5,7,7,7,6,6,7,7,6,3,4,5,6,5,4,6,6,6,6,5,6,3,6,5,4,6,6,5,5,5,5,5,5,5,5,5,6,5,6,6,4,4,3,6,5,6,6,6,5,4,3,2,2,4,2,3,3,2,2,3,2
85,36,15,7,4,4,0.4166666666666667,0.19444444444444445,0.1111111111111111,0.1111111111111111,5,4.571428571428571,5.25,5.5,6.533333333333333,6.571428571428571,6.25,6.75,2,19,Y,4,2,4,4,2,3,5,5,5,6,4,6,6,6,3,6,4,6,7,5,3,5,6,7,6,7,7,6,6,7,7,6,7,6,7,7,5,4,4,6,5,7,6,4,6,7,6,6,4,5,5,3,2,6,5,7,7,7,4,7,6,4,7,7,6,7,7,6,6,6,2,4,5,6,4,5,4,4,4,4,2,6,6,5,6,6,6,6,3,2,3,4,2,2,2,3,2,4,3,2,3,2,4,3,5,4,3,3,6,2,6,4,4,5,6,6,6,3,3,4,6,5,3,6,6,6,6,4,6,3,3,4,6,6,5,5,5,6,6,7,5,5,6,5,6,3,6,6,6,4,3,5,6,4,6,4,5,4,4,4,4,4,3,4,4,4,3,4,4
86,77,14,12,2,0,0.18181818181818182,0.15584415584415584,0.025974025974025976,NA,4.142857142857143,4.333333333333333,3,NA,5.25,5.125,6,NA,1,21,Y,1,4,4,3,2,1,5,5,6,4,6,5,6,6,7,4,7,7,7,7,2,3,7,7,6,7,7,6,6,6,7,7,2,6,6,5,4,4,5,5,6,5,6,4,4,2,3,6,4,6,5,5,3,1,5,6,3,4,5,3,6,7,7,6,6,7,4,7,6,6,5,6,5,6,5,4,5,5,3,7,1,5,2,6,6,5,3,6,2,2,3,4,3,4,1,3,4,2,1,3,2,2,5,4,3,4,3,7,6,2,6,7,6,6,6,7,6,1,1,5,6,5,3,5,6,4,6,7,4,5,5,2,5,4,4,4,6,6,5,7,5,1,5,6,6,4,3,7,3,6,5,5,5,6,5,4,5,4,3,3,1,4,2,4,3,1,1,4,4
87,79,2,2,0,0,0.02531645569620253,0.02531645569620253,NA,NA,5.5,5.5,NA,NA,7,7,NA,NA,2,20,Y,5,5,3,5,5,4,6,5,6,6,5,6,7,6,7,7,6,7,7,7,2,3,7,7,6,7,7,7,7,5,6,6,5,6,7,6,7,7,5,5,6,2,6,1,3,3,1,7,1,5,1,1,1,6,3,7,7,7,5,7,6,6,6,6,7,7,7,7,7,7,6,7,6,5,2,2,3,5,6,3,3,3,3,5,3,5,6,7,4,2,5,2,1,6,2,2,3,5,5,5,7,7,7,5,3,3,4,1,5,3,6,2,3,3,2,3,6,1,2,7,7,7,7,6,3,2,5,3,2,6,4,2,2,1,1,5,3,1,7,7,6,5,6,4,3,3,2,3,2,1,1,6,4,3,1,2,3,3,5,5,5,5,5,5,5,4,4,5,4
