Participant,n_per_person_ESM,n_any_con_ESM,n_con_init_ESM,n_con_pers_ESM,n_con_inhi_ESM,freq_con_all_ESM,freq_con_init_ESM,freq_con_pers_ESM,freq_con_inhi_ESM,m_intensity_all_ESM,m_intensity_init_ESM,m_intensity_pers_ESM,m_intensity_inhi_ESM,m_success_all_ESM,m_success_init_ESM,m_success_pers_ESM,m_success_inhi_ESM,DemSex,DemAge,DemStudent3,bfi1,bfi2,bfi3,bfi10,bfi11,bfi12,ipc1_1,ipc1_2,ipc1_3,ipc1_4,ipc1_5,ipc1_6,ipc1_7,ipc1_8,ipc2_1,ipc2_2,ipc2_3,ipc2_4,ipc2_5,ipc2_6,ipc2_7,ipc2_8,ipc3_1,ipc3_2,ipc3_3,ipc3_4,ipc3_5,ipc3_6,ipc3_7,ipc3_8,ipc4_1,ipc4_2,ipc4_3,ipc4_4,ipc4_5,ipc4_6,ipc4_7,ipc4_8,ipc5_1,ipc5_2,ipc5_3,ipc5_4,ipc5_5,ipc5_6,ipc5_7,ipc5_8,ipc6_1,ipc6_2,ipc6_3,ipc6_4,ipc6_5,ipc6_6,ipc6_7,ipc6_8,bisbas8,bisbas13,bisbas16,bisbas19,bisbas22,bisbas24,bisbas3,bisbas9,bisbas12,bisbas21,bisbas4,bisbas7,bisbas18,bisbas23,bisbas14,bisbas5,bisbas10,bisbas15,bisbas20,ERQ1,ERQ3,ERQ5,ERQ7,ERQ8,ERQ10,ERQ2,ERQ4,ERQ6,ERQ9,bisf1,bisf2,bisf3,bisf4,bisf5,bisf6,bisf7,bisf8,bisf9,bisf10,bisf11,bisf12,bisf13,bisf14,bisf15,ips1,ips2,ips3,ips4,ips5,ips6,ips7,ips8,ips9,stst1,stst2,stst3,stst4,stst5,stst6,stst7,stst8,stst9,stst10,stst11,stst12,stst13,stst14,stst15,stst16,stst17,hoyle1,hoyle2,hoyle3,hoyle4,hoyle5,hoyle6,hoyle7,hoyle8,hoyle9,hoyle10,hoyle11,hoyle12,hoyle13,hoyle14,hoyle15,hoyle16,hoyle17,hoyle18,hoyle19,hoyle20,scs01,scs02,scs03,scs04,scs05,scs06,scs07,scs08,scs09,scs10,scs11,scs12,scs13,MISCS20,MISCS11,MISCS21,MISCS18,MISCS4,MISCS12,MISCS2,MISCS15,MISCS19,MISCS23,MISCS25,MISCS26
175,68,52,21,26,5,0.7647058823529411,0.3088235294117647,0.38235294117647056,0.07352941176470588,5.903846153846154,5.619047619047619,5.961538461538462,6.8,5.153846153846154,4.809523809523809,6,2.2,2,20,Y,3,4,3,5,2,3,6,6,6,6,6,5,4,6,3,5,5,7,6,6,6,6,6,2,6,6,2,5,6,7,2,6,6,5,6,6,2,5,2,3,5,2,2,3,2,5,5,6,6,6,6,6,6,2,3,6,2,7,3,6,6,7,6,6,7,7,5,7,6,6,5,2,7,3,6,6,5,6,5,6,5,6,6,3,3,3,3,2,2,2,2,2,2,2,2,2,2,5,6,3,6,5,6,3,5,6,2,3,5,5,6,6,6,6,6,6,6,2,3,6,5,6,6,6,5,6,6,6,6,6,6,2,2,2,3,5,2,6,6,7,6,3,7,5,6,3,6,3,5,3,3,6,6,3,6,5,5,3,4,3,3,4,3,3,4,2,3,4,4
176,40,14,8,0,6,0.35,0.2,NA,0.15,5.071428571428571,4.75,NA,5.5,3.4642857142857144,3.0625,NA,4,2,23,Y,3,2,4,5,3,4,6,5,6,6,6,4,3,6,1,7,3,7,7,7,5,7,7,7,6,6,7,6,7,5,7,7,6,6,5,5,5,6,4,3,5,3,6,4,3,3,6,6,4,5,3,3,3,5,6,7,7,7,7,7,6,5,6,5,6,7,7,5,6,5,4,3,6,5,5,5,6,5,6,3,1,1,5,5,5,3,2,5,2,2,3,4,1,2,3,2,4,5,5,2,7,5,6,4,3,5,4,2,2,3,6,3,4,3,6,7,6,1,2,4,5,5,3,5,5,1,5,3,3,5,6,4,2,3,4,2,5,3,5,6,5,1,5,6,3,2,3,5,4,1,1,5,5,2,5,6,2,3,5,2,1,4,4,2,2,1,2,5,4
177,49,12,4,3,5,0.24489795918367346,0.08163265306122448,0.061224489795918366,0.10204081632653061,6.25,7,7,5.2,4.333333333333333,3.125,4.166666666666667,5.4,2,23,Y,2,3,1,5,5,3,5,7,5,3,4,6,6,4,1,1,1,3,6,5,2,2,7,7,7,7,7,4,7,7,2,7,3,6,7,6,3,5,3,1,3,2,2,2,1,1,1,5,7,7,7,7,7,7,3,5,7,7,7,7,5,4,5,3,3,2,7,1,5,4,2,1,5,5,1,1,5,1,1,7,1,5,7,1,1,1,2,1,1,1,1,1,1,3,3,7,1,1,7,2,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,6,3,2,4,6,5,2,6,6,3,7,1,6,5,7,2,1,1,1,1,1,2,2,7,3,5,4,6,6,1,1,7,7,1,6,2,5,3,7,6,1,4,2,4,3,4,4,2,2,2,2,4,3
178,50,44,30,13,1,0.88,0.6,0.26,0.02,5.931818181818182,5.866666666666666,6.384615384615385,2,3.1136363636363638,2.666666666666667,4.076923076923077,4,2,23,Y,2,2,4,4,4,4,3,3,3,5,3,5,3,5,6,6,6,5,5,7,5,5,5,6,6,2,6,7,6,7,7,6,5,7,7,5,4,4,3,3,3,2,3,2,2,5,5,2,6,5,3,5,5,3,7,7,7,7,7,7,6,5,5,5,7,7,6,5,6,7,6,5,5,5,5,2,5,6,6,3,1,5,6,4,5,5,6,2,6,3,6,5,3,3,5,3,5,3,6,3,7,4,7,3,6,5,6,6,3,6,5,7,6,5,5,7,5,1,1,7,3,2,3,6,6,4,6,5,5,5,3,2,3,3,2,2,4,3,3,6,4,3,3,6,5,3,5,3,5,1,5,3,5,2,5,5,6,5,4,4,3,4,4,4,2,1,4,4,2
179,79,9,3,5,1,0.11392405063291139,0.0379746835443038,0.06329113924050633,0.012658227848101266,4.333333333333333,5,4,4,4.333333333333333,3.3333333333333335,5,4,2,21,Y,2,1,3,3,2,2,5,6,5,6,5,5,6,6,5,4,6,5,7,6,6,2,7,6,6,7,6,7,5,7,7,6,4,5,6,5,6,2,2,3,6,3,5,1,3,5,6,6,6,7,6,6,6,5,2,7,7,7,3,6,5,6,6,5,7,7,6,3,6,5,5,2,4,5,6,2,5,5,6,2,2,2,2,3,3,3,1,5,2,2,3,2,1,4,1,3,2,2,3,2,6,5,6,6,5,5,1,3,2,5,7,3,7,3,7,7,6,1,2,3,3,2,3,3,3,3,3,6,6,6,6,3,3,2,2,2,2,5,3,5,5,2,5,6,6,1,3,7,5,2,2,2,4,5,7,6,4,3,5,4,4,3,2,2,2,2,2,2,2
180,56,29,10,9,10,0.5178571428571429,0.17857142857142858,0.16071428571428573,0.17857142857142858,4.827586206896552,4.7,4.888888888888889,4.9,5.706896551724138,5.5,6.166666666666667,5.5,2,21,Y,5,5,4,5,3,5,4,3,5,4,3,6,3,4,3,7,7,6,5,7,5,7,6,7,6,7,6,7,3,5,7,7,6,6,7,4,6,5,7,4,5,5,7,7,7,3,1,4,1,1,3,3,4,7,6,7,7,7,7,7,7,7,7,7,5,6,7,7,6,7,4,4,7,3,5,3,5,1,3,1,1,1,1,5,5,6,6,4,1,1,1,6,4,6,7,5,3,3,1,1,1,1,6,5,2,1,1,5,3,7,5,7,2,4,6,6,6,2,2,7,5,3,6,6,5,5,5,3,6,3,5,7,6,6,7,7,7,7,5,7,7,6,6,6,5,1,5,3,3,4,6,2,6,5,4,4,6,2,3,3,2,4,3,2,2,1,1,4,1
181,72,13,4,9,0,0.18055555555555555,0.05555555555555555,0.125,NA,4.6923076923076925,4.5,4.777777777777778,NA,3.4615384615384617,2.75,3.7777777777777777,NA,2,23,Y,1,3,4,3,2,2,6,5,3,5,6,5,6,6,6,6,5,6,7,7,6,6,6,7,6,6,6,6,6,7,6,7,3,3,3,3,4,4,3,3,5,2,3,2,3,5,5,5,6,6,2,7,4,3,7,7,7,7,6,3,6,5,6,5,6,7,7,6,6,6,4,3,6,3,6,3,5,3,6,6,1,3,7,6,5,3,2,5,3,3,4,4,2,3,3,1,2,5,6,2,7,6,3,4,5,5,2,3,3,5,6,7,3,7,5,3,7,2,2,6,7,5,6,7,6,6,6,7,6,6,3,3,3,3,3,5,3,7,6,7,5,3,6,6,6,6,5,7,5,1,2,6,5,6,6,6,3,3,3,4,4,5,2,4,4,4,2,4,2
182,70,23,18,1,4,0.32857142857142857,0.2571428571428571,0.014285714285714285,0.05714285714285714,3.6956521739130435,3.611111111111111,4,4,4.760869565217392,5.5,1,2.375,1,23,Y,4,3,5,3,3,2,5,6,6,6,7,6,4,4,7,4,6,3,7,5,1,1,4,7,6,4,6,7,5,7,6,6,7,5,7,6,6,5,3,3,5,6,4,1,4,3,7,4,7,7,3,6,4,7,5,5,3,7,5,3,7,6,6,7,6,6,7,6,5,6,4,3,7,3,3,3,3,3,3,2,2,6,6,3,4,1,1,2,2,2,3,2,1,1,1,2,1,2,2,3,2,2,5,3,NA,2,4,3,6,4,3,6,6,4,6,6,6,2,1,6,5,6,2,7,5,5,5,6,5,6,6,3,7,5,4,6,5,7,6,6,6,3,5,6,6,7,6,7,5,3,3,6,6,6,7,2,6,4,5,4,4,5,2,2,3,2,2,4,2
183,75,37,10,10,17,0.49333333333333335,0.13333333333333333,0.13333333333333333,0.22666666666666666,5.594594594594595,5.6,5.5,5.647058823529412,2.5135135135135136,2.8,1.8,2.764705882352941,2,22,Y,2,3,3,5,3,4,4,5,3,4,5,4,6,5,5,7,6,6,7,7,4,6,7,7,6,7,7,6,2,7,4,4,4,3,5,6,3,5,3,3,6,5,5,2,3,3,2,3,7,6,4,5,2,5,7,7,7,7,4,7,4,4,5,4,7,7,7,5,4,5,4,3,3,3,3,2,2,2,3,4,1,2,7,1,2,2,1,3,5,2,4,2,2,4,4,5,4,4,6,2,6,5,6,4,3,4,3,7,3,5,7,7,7,6,3,7,5,2,4,3,5,4,3,6,6,6,5,4,5,2,7,2,2,2,4,3,4,5,5,5,5,3,5,6,7,6,5,5,2,3,3,3,3,3,3,6,5,4,3,3,4,5,4,3,3,2,3,4,1
184,67,25,20,5,0,0.373134328358209,0.29850746268656714,0.07462686567164178,NA,3.72,3.65,4,NA,2.86,2.5,4.3,NA,2,NA,Y,5,1,3,5,4,5,4,7,1,2,7,4,3,6,7,7,6,7,2,5,5,5,7,6,6,7,6,7,7,7,5,6,2,6,7,3,4,6,3,3,7,2,4,3,1,2,7,7,7,4,5,7,3,7,6,7,6,7,7,7,6,3,1,6,7,7,7,7,7,7,5,1,7,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,7,7,7,7,2,6,5,3,3,6,7,3,6,5,6,6,7,7,5,7,7,7,3,5,6,2,7,7,1,1,1,3,2,2,1,1,6,7,6,7,7,3,7,1,1,2,1,1,1,5,1,3,5,1,6,7,7,7,7,7,7,7,3,3,3,7,7,7,6,3,3,4,5,5,2,3,2,5,1,4,1
185,65,32,17,8,7,0.49230769230769234,0.26153846153846155,0.12307692307692308,0.1076923076923077,3.875,3.9411764705882355,4,3.5714285714285716,5.15625,4.647058823529412,5.5,6,1,23,Y,2,4,5,4,1,3,6,5,6,6,6,6,6,7,2,3,3,4,6,6,3,3,6,6,6,6,6,6,7,7,7,6,6,5,6,6,6,5,6,6,5,5,5,3,6,4,3,6,6,6,3,6,3,3,4,6,6,7,6,5,7,6,6,6,6,6,6,5,6,7,6,5,6,6,4,3,6,5,5,5,1,4,6,5,3,2,3,3,2,2,5,4,3,3,2,2,2,2,3,3,2,3,3,3,2,3,2,5,3,4,5,6,5,5,5,7,6,2,6,2,5,2,3,5,6,4,5,7,5,6,5,6,3,5,6,6,6,7,5,6,7,5,5,6,6,5,6,5,2,4,2,6,6,5,5,5,6,4,5,4,4,4,4,4,4,3,2,4,4
187,41,18,6,7,5,0.43902439024390244,0.14634146341463414,0.17073170731707318,0.12195121951219512,6,6.166666666666667,5.857142857142857,6,4.5,3.8333333333333335,4.714285714285714,5,1,23,Y,3,5,4,4,2,4,4,6,4,4,6,6,6,6,7,6,7,7,7,7,2,2,7,7,7,7,7,7,1,7,7,7,2,4,6,6,6,7,6,7,7,7,4,4,7,6,7,2,6,7,4,7,7,7,2,4,5,6,4,4,7,7,1,7,7,7,6,4,4,3,1,1,3,5,5,3,4,5,4,6,4,4,5,1,1,1,1,3,1,1,2,1,1,3,2,4,2,4,5,2,5,4,5,4,5,4,2,7,2,7,7,6,7,5,6,7,5,2,5,6,6,6,4,6,5,5,4,6,4,6,5,5,4,4,5,5,4,7,5,5,5,3,6,7,4,5,6,7,7,4,4,5,5,4,7,4,4,3,5,4,3,3,2,4,3,2,2,4,4
188,72,24,12,11,1,0.3333333333333333,0.16666666666666666,0.1527777777777778,0.013888888888888888,2.625,2.8333333333333335,2.4545454545454546,2,5.854166666666667,5.958333333333333,5.7727272727272725,5.5,1,24,Y,2,3,3,2,2,4,5,5,4,6,6,6,6,5,7,4,6,5,7,6,4,7,6,2,7,7,6,6,5,7,7,6,6,5,7,5,5,3,4,6,5,4,4,6,6,6,3,6,6,5,4,5,4,6,3,4,5,6,4,4,5,2,3,5,5,6,3,6,5,5,3,3,5,6,6,6,5,5,5,6,2,3,3,7,6,2,3,3,2,2,4,2,2,2,4,3,3,5,3,3,2,3,5,3,3,2,2,4,4,4,5,7,6,5,6,5,6,5,5,5,5,5,6,6,5,5,6,5,5,5,5,6,2,4,6,6,6,6,6,6,6,4,5,6,6,5,6,6,3,6,6,5,6,4,6,4,5,4,4,4,4,4,4,2,4,3,2,4,3
190,75,22,14,6,2,0.29333333333333333,0.18666666666666668,0.08,0.02666666666666667,4.045454545454546,4.142857142857143,4,3.5,5.090909090909091,5.214285714285714,5.25,3.75,2,21,Y,3,3,4,3,1,4,5,6,4,6,5,4,5,5,2,2,2,5,7,5,5,6,6,6,6,7,7,7,6,7,2,6,5,5,5,5,4,3,6,5,4,3,4,5,5,5,6,4,7,5,3,6,4,3,2,5,6,6,3,4,6,6,6,6,6,7,6,6,5,6,3,3,6,4,4,3,5,4,4,2,1,1,2,5,5,3,3,5,3,2,4,5,3,4,3,3,6,5,5,3,4,2,3,3,5,4,4,3,4,5,5,6,5,6,4,5,5,3,3,3,4,3,4,3,5,5,6,5,5,3,4,5,3,3,5,5,5,5,5,4,4,2,4,5,6,4,3,5,5,3,5,4,5,6,6,5,3,3,3,3,3,4,3,4,4,3,4,4,3
191,63,25,9,16,0,0.3968253968253968,0.14285714285714285,0.25396825396825395,NA,4,4.111111111111111,3.9375,NA,6.28,5.833333333333333,6.53125,NA,2,22,Y,2,3,3,3,3,2,6,4,3,5,6,5,6,6,3,4,2,4,4,6,2,2,7,6,6,6,6,7,6,7,4,5,5,6,6,6,5,5,4,4,4,3,3,4,3,3,7,7,7,6,3,7,4,3,4,5,5,6,4,6,6,4,4,5,7,4,7,1,4,5,1,3,5,7,7,7,7,7,7,2,3,5,5,3,3,2,3,2,7,2,7,3,1,2,2,2,2,2,6,1,6,5,5,5,5,5,5,7,4,6,7,7,6,7,5,7,6,3,3,4,6,6,6,7,6,3,7,3,5,6,6,3,3,3,3,3,4,7,4,6,4,3,5,4,5,3,4,6,5,1,3,7,5,5,5,6,4,4,5,4,4,4,5,3,3,3,3,3,4
192,67,35,13,13,9,0.5223880597014925,0.19402985074626866,0.19402985074626866,0.13432835820895522,4.942857142857143,5,5,4.777777777777778,4.6571428571428575,4.461538461538462,5.038461538461538,4.388888888888889,1,25,Y,1,3,4,5,3,1,6,5,7,6,6,7,3,7,3,7,3,5,7,6,1,2,7,6,7,7,6,7,6,7,7,6,6,6,1,6,6,6,3,4,6,3,5,4,4,4,4,5,6,3,3,5,2,5,5,7,5,6,6,5,6,3,5,6,7,6,6,7,6,7,3,5,6,6,5,3,6,6,3,6,2,5,7,5,4,3,2,2,1,3,2,2,2,2,2,1,3,2,5,2,6,5,5,2,5,5,2,5,3,3,7,5,4,6,7,7,5,4,2,3,5,6,6,4,5,5,6,5,3,7,7,5,5,5,4,5,5,5,6,7,6,5,7,7,6,4,6,7,5,5,3,6,6,5,7,6,5,5,5,5,5,5,5,4,5,4,5,5,4
194,5,5,5,0,0,1,1,NA,NA,4.8,4.8,NA,NA,6.3,6.3,NA,NA,2,24,Y,5,3,1,5,3,4,4,3,5,5,5,5,4,5,7,6,7,5,7,6,7,7,6,7,6,7,6,7,5,6,6,6,5,2,6,6,5,5,6,6,5,3,5,5,6,6,6,4,6,5,6,6,2,6,6,6,6,5,6,6,6,6,5,5,6,6,6,5,5,6,2,2,5,3,3,2,3,2,3,5,2,5,6,3,3,5,2,5,2,2,3,3,2,4,4,2,2,4,3,3,5,2,6,4,4,3,3,6,3,3,5,5,3,5,2,6,5,3,3,2,5,3,2,5,3,3,3,3,3,5,5,2,5,3,3,3,4,5,5,5,5,5,5,5,5,2,7,4,3,2,5,3,5,3,5,4,2,3,4,4,3,4,3,3,3,2,2,3,2
195,58,4,3,1,0,0.06896551724137931,0.05172413793103448,0.017241379310344827,NA,5,5.333333333333333,4,NA,4.375,3.8333333333333335,6,NA,2,24,Y,3,3,4,4,1,2,5,4,6,6,3,5,5,6,7,6,7,6,7,7,4,7,5,7,6,6,6,5,5,6,6,5,6,5,6,6,5,5,4,4,6,5,5,5,5,5,4,6,6,5,3,4,4,5,4,5,6,6,5,5,6,5,5,5,5,6,7,5,6,7,3,5,7,4,4,6,5,4,4,3,2,1,2,5,5,3,2,6,2,1,3,4,3,1,1,2,1,2,2,3,2,2,2,3,3,3,2,2,3,3,5,5,4,5,4,5,6,3,2,5,5,6,5,6,3,3,3,6,4,5,4,4,5,5,6,5,5,6,5,6,4,5,5,7,3,3,6,7,4,5,3,6,6,5,5,5,5,4,3,3,4,5,4,2,3,2,2,2,2
196,43,20,6,9,5,0.46511627906976744,0.13953488372093023,0.20930232558139536,0.11627906976744186,3.85,4.166666666666667,4.222222222222222,2.8,4.25,3.75,4.722222222222222,4,2,21,Y,4,4,4,5,2,3,5,6,4,4,4,5,5,4,3,5,3,6,7,4,5,3,6,7,7,7,7,6,4,7,7,6,6,6,6,6,4,5,4,4,5,5,5,2,6,1,6,2,7,7,4,6,2,5,2,2,6,7,2,2,6,6,6,6,7,7,3,7,5,7,6,5,7,6,6,3,4,5,4,4,1,5,6,5,5,3,2,2,1,1,1,3,2,4,1,3,3,2,3,2,5,3,6,5,2,3,3,7,2,6,4,6,3,2,5,6,5,2,3,5,4,4,3,5,6,6,7,3,4,5,4,3,3,3,3,5,3,3,4,6,6,5,6,6,5,4,5,6,5,2,2,4,5,3,5,5,5,3,4,4,5,4,2,4,4,5,1,4,1
197,58,34,9,15,10,0.5862068965517241,0.15517241379310345,0.25862068965517243,0.1724137931034483,4.424242424242424,4.888888888888889,4.266666666666667,4.222222222222222,4.4411764705882355,4.333333333333333,4.833333333333333,3.95,1,23,Y,3,4,4,3,1,2,6,3,4,5,6,5,5,6,2,5,1,6,7,6,2,5,6,7,6,7,7,4,6,3,6,6,1,2,4,5,5,2,2,2,5,1,2,2,2,3,2,3,3,7,2,7,2,1,2,5,5,6,2,1,5,5,7,5,6,7,7,7,6,6,7,6,6,6,6,7,6,6,7,4,1,2,6,6,6,6,7,5,3,5,6,5,3,1,5,1,5,6,5,3,7,6,6,4,5,6,5,3,7,2,6,5,2,5,5,2,6,1,2,7,5,6,6,2,6,2,6,2,2,6,5,1,2,2,2,5,5,2,6,6,2,1,6,6,6,2,3,6,3,2,2,6,4,3,5,6,5,4,5,4,3,3,4,4,4,3,1,4,2
198,66,4,1,2,1,0.06060606060606061,0.015151515151515152,0.030303030303030304,0.015151515151515152,2.75,2,4,1,2.8333333333333335,6.5,1,NA,2,NA,NA,2,4,3,3,1,4,6,5,6,5,7,5,5,7,7,5,7,7,7,7,7,7,5,7,5,5,7,7,5,7,6,6,5,7,3,6,5,3,7,5,5,7,7,7,6,7,7,6,5,5,5,5,3,7,4,4,3,5,1,3,7,7,4,6,7,7,5,3,5,5,5,5,6,3,5,5,4,3,3,7,3,5,3,1,1,2,2,5,1,1,1,1,1,4,3,3,5,5,1,2,4,1,1,3,1,2,3,3,5,2,6,4,5,3,5,5,5,2,1,3,5,5,4,5,5,3,7,5,5,2,2,7,7,7,7,7,6,7,5,7,5,5,6,5,5,3,3,3,3,2,6,5,7,5,5,6,6,4,4,3,4,5,3,2,3,4,4,4,3
199,64,28,24,0,4,0.4375,0.375,NA,0.0625,3.642857142857143,3.625,NA,3.75,3.357142857142857,3.2708333333333335,NA,3.875,1,21,Y,4,4,5,4,2,3,6,5,5,7,6,5,6,6,6,2,5,6,5,5,6,6,6,7,6,6,7,6,5,6,7,6,4,3,4,3,4,2,2,3,4,3,3,6,3,7,4,5,3,6,5,6,3,6,1,5,3,4,5,3,3,5,4,7,6,7,6,6,4,7,2,5,5,7,7,5,6,4,6,3,1,1,2,4,6,4,5,3,4,3,6,4,3,4,2,6,1,2,5,3,5,3,6,4,5,5,5,7,3,4,6,5,2,3,4,6,4,1,3,2,3,3,6,7,3,2,3,2,3,5,3,4,5,3,3,4,4,3,3,7,4,2,6,2,3,1,2,6,2,1,3,2,2,3,4,4,1,2,3,4,4,3,4,1,2,2,2,1,1
201,9,7,4,1,2,0.7777777777777778,0.4444444444444444,0.1111111111111111,0.2222222222222222,4.071428571428571,3.75,3,4.666666666666667,5.214285714285714,5.625,7,3.5,1,27,NA,5,4,2,2,1,4,6,5,6,6,7,7,6,6,3,3,6,6,7,6,2,3,6,7,4,2,7,5,1,3,6,6,3,7,6,6,6,5,5,3,6,5,6,5,5,6,2,6,5,7,2,4,2,6,1,2,2,6,4,2,6,5,5,5,7,6,6,6,5,7,6,6,6,6,2,2,3,5,3,5,4,3,2,6,6,6,6,7,6,3,5,5,2,2,1,1,2,5,3,2,5,3,2,2,5,5,1,2,6,3,6,2,3,2,5,3,6,2,2,7,5,7,6,6,3,2,5,3,2,3,4,3,5,2,3,3,6,3,5,7,3,3,3,6,3,2,3,2,2,2,2,6,3,3,5,5,2,4,4,4,4,4,4,4,4,4,4,5,5
202,18,13,9,2,2,0.7222222222222222,0.5,0.1111111111111111,0.1111111111111111,5.846153846153846,6,5,6,3.6666666666666665,4.5,2.25,1.75,2,24,NA,3,4,3,5,1,4,5,7,7,7,7,6,7,6,5,3,4,7,7,6,2,2,7,7,6,7,7,5,5,4,3,5,7,4,5,3,5,4,4,2,7,5,6,2,2,1,7,7,7,7,3,7,3,5,7,7,7,7,4,7,6,6,7,7,7,7,7,7,7,6,7,1,7,6,6,6,4,4,5,2,2,5,3,5,4,1,1,6,2,1,1,1,1,6,4,2,1,5,5,2,6,5,7,2,6,6,2,3,3,5,6,1,7,1,7,5,6,1,1,6,5,6,6,6,3,3,4,3,6,3,6,1,1,2,1,3,2,2,5,6,5,1,5,7,3,3,4,4,3,1,1,3,5,5,7,6,6,5,5,5,3,5,4,4,4,4,3,5,2
203,56,20,13,5,2,0.35714285714285715,0.23214285714285715,0.08928571428571429,0.03571428571428571,2.9,2.3846153846153846,4.2,3,5.275,6.3076923076923075,1.9,7,2,20,Y,2,4,4,4,3,3,4,3,2,5,6,6,6,6,2,2,2,6,6,7,6,6,6,7,7,7,7,6,6,7,7,6,3,3,3,5,3,2,2,2,6,2,3,2,3,7,4,5,7,6,4,5,6,6,6,6,1,6,5,6,6,6,6,6,6,7,7,6,6,4,5,3,6,5,4,2,3,5,5,6,2,5,7,5,5,6,2,6,1,1,5,3,3,6,4,3,3,4,4,6,7,6,7,5,5,6,4,6,4,3,6,3,6,3,6,6,6,2,2,2,6,3,2,2,3,4,5,2,6,6,6,2,1,1,2,4,3,1,6,6,6,3,5,5,4,3,2,7,7,2,2,3,5,7,7,6,2,4,5,4,4,4,5,3,3,1,1,3,2
204,17,8,5,0,3,0.47058823529411764,0.29411764705882354,NA,0.17647058823529413,4.5,5.2,NA,3.3333333333333335,2.625,2.3,NA,3.1666666666666665,1,25,Y,4,1,2,4,3,4,3,6,3,NA,7,5,6,5,2,2,1,2,3,3,1,1,6,5,7,7,6,7,7,7,3,3,3,2,3,2,5,2,2,2,5,1,1,3,3,1,3,6,6,6,3,4,2,2,7,7,7,5,3,7,2,2,4,2,6,6,4,6,5,7,6,3,6,5,2,2,5,3,3,4,2,6,6,6,6,5,3,1,6,6,6,5,3,3,2,4,3,2,5,5,6,5,7,5,2,5,4,7,6,3,5,7,4,5,5,4,7,2,3,3,5,3,3,5,6,5,6,3,6,4,5,3,2,2,6,6,5,5,4,6,4,3,5,4,6,3,3,6,6,3,2,4,3,6,5,6,3,3,4,4,4,3,3,4,3,5,3,3,4
206,29,18,9,2,7,0.6206896551724138,0.3103448275862069,0.06896551724137931,0.2413793103448276,4.277777777777778,4.222222222222222,3,4.714285714285714,4.972222222222222,5.444444444444445,7,3.7857142857142856,2,19,NA,3,3,2,3,2,4,5,4,4,6,6,4,5,5,5,6,6,6,5,7,6,5,7,6,6,7,6,7,7,6,1,6,4,5,6,5,3,3,7,7,6,7,7,7,7,6,7,2,6,4,5,5,6,7,6,7,3,7,7,2,6,5,5,7,7,5,5,7,7,3,3,4,2,2,3,2,6,1,6,5,1,3,3,2,2,2,5,5,2,2,3,2,1,2,1,1,5,1,1,6,1,1,1,2,1,1,1,5,6,6,6,6,5,6,5,7,6,6,4,2,6,5,4,2,6,6,3,1,NA,2,5,7,7,7,7,6,6,7,5,5,3,4,3,5,5,3,4,3,3,5,6,6,6,5,3,4,5,3,2,4,2,4,2,2,2,4,1,2,1
207,49,22,7,7,8,0.4489795918367347,0.14285714285714285,0.14285714285714285,0.16326530612244897,3.4545454545454546,3.4285714285714284,3.5714285714285716,3.375,5.295454545454546,4.857142857142857,5.785714285714286,5.25,2,28,NA,2,2,4,2,1,2,5,7,6,6,6,6,6,6,6,5,6,5,7,6,5,5,6,7,6,7,7,6,6,7,5,6,6,5,7,6,6,6,6,6,6,6,6,6,6,4,5,7,6,5,6,6,4,6,5,6,6,6,3,5,6,5,5,5,6,6,5,5,5,6,2,2,4,6,6,6,6,5,6,3,2,5,5,3,4,2,2,2,2,2,2,3,2,4,3,2,2,3,2,3,2,1,2,2,1,2,3,3,6,5,7,5,6,2,6,7,6,4,5,6,6,6,6,6,6,6,6,7,7,6,7,6,5,7,7,6,6,7,6,6,6,5,6,6,6,5,6,7,6,6,3,6,6,6,6,6,6,4,4,4,4,4,4,3,4,3,3,3,2
208,61,9,3,4,2,0.14754098360655737,0.04918032786885246,0.06557377049180328,0.03278688524590164,3.7777777777777777,2.6666666666666665,3.5,6,4.388888888888889,3.8333333333333335,4.375,5.25,2,25,Y,3,5,5,NA,1,3,6,7,6,5,6,6,5,6,7,7,7,6,6,7,7,6,5,7,6,7,6,7,5,7,7,6,5,5,5,5,5,7,7,7,6,6,7,5,7,6,4,5,2,3,3,2,2,1,2,6,3,6,1,2,7,7,4,7,5,7,5,7,6,6,6,4,7,4,4,3,4,4,6,1,1,1,5,7,7,6,6,6,3,3,4,5,5,4,5,2,1,2,1,5,2,2,3,2,4,2,3,6,1,3,5,7,3,6,3,7,3,7,4,1,2,4,5,6,3,7,3,7,7,5,5,5,6,7,6,2,6,7,5,7,2,6,5,5,1,7,7,6,7,7,7,7,6,6,6,6,6,3,2,2,4,4,2,2,2,3,3,4,3
